headline,body,time_published,Text,category
COVID Fighter app wins 2021 Nepal Journathon Prize,COVID Fighter app won the 2021 Nepal Journathon Prize during the Nepal Journathon on Covid-19 organised by Nepal Investigative Multimedia Journalism Network (NIMJN) on Thursday.,192021.0,covid fighter app win nepal journathon prize covid fighter app nepal journathon prize nepal journathon covid organised nepal investigative multimedia journalism network nimjn thursday.,Science and Tech
"Mars Mission: Touchdown confirmed, NASA's Perseverance sends first looks of landing","The mission control at NASA’s Jet Propulsion Laboratory in Southern California has confirmed that Perseverance rover has successfully landing in the Martian land at the designed time -- 3:55 pm EST on Thursday (5:40 am local time, Friday, in Kathmandu).",192021.0,mar mission touchdown confirmed nasa perseverance sends first look landing mission control nasa jet propulsion laboratory southern california confirmed perseverance rover successfully landing martian land designed time pm est thursday local time friday kathmandu .,Science and Tech
Mars Mission: NASA's sophisticated Perseverance rover to land on the Red Planet soon,NASA's sophisticated Perseverance rover is attempting the most dangerous and precise landing on a mission to search for signs of ancient life in the Red planet on Thursday.,182021.0,mar mission nasa sophisticated perseverance rover land red planet soon nasa sophisticated perseverance rover attempting dangerous precise landing mission search sign ancient life red planet thursday.,Science and Tech
European Space Agency seeks diversity in new astronaut drive,The European Space Agency is holding its first astronaut recruitment drive in 11 years and says greater diversity is one of the goals.,172021.0,european space agency seek diversity new astronaut drive european space agency holding first astronaut recruitment drive year say greater diversity one goals.,Science and Tech
"Some dinosaur migration was delayed by climate, study shows","Plant-eating dinosaurs probably arrived in the Northern Hemisphere millions of years after their meat-eating cousins, a delay likely caused by climate change, a new study found.",172021.0,dinosaur migration delayed climate study show plant eating dinosaur probably arrived northern hemisphere million year meat eating cousin delay likely caused climate change new study found.,Science and Tech
UAE Space Agency's Hope Mars probe releases first picture of Mars,UAE Space Agency’s Hope Mars probe has released the first picture of Mars captured by the first-ever Arab probe.,142021.0,uae space agency hope mar probe release first picture mar uae space agency hope mar probe released first picture mar captured first ever arab probe.,Science and Tech
"UAE's 'Hope' enters Mars' orbit; China's Tianwen-1, US's Perseverance to follow","UAE's 'Hope' is the first among the three Mars missions scheduled for February, others being China’s Tianwen 1 Probe and United States’ Perseverance Probe, to reach Mars -",102021.0,uae hope enters mar orbit china tianwen u perseverance follow uae hope first among three mar mission scheduled february others china tianwen probe united state perseverance probe reach mar,Science and Tech
Turkey unveils space program including 2023 moon mission,"Turkish President Recep Tayyip Erdogan unveiled an ambitious 10-year space program for his country Tuesday that includes missions to the moon, sending Turkish astronauts into space and developing internationally viable satellite systems.",102021.0,turkey unveils space program including moon mission turkish president recep tayyip erdogan unveiled ambitious year space program country tuesday includes mission moon sending turkish astronaut space developing internationally viable satellite systems.,Science and Tech
Elon Musk puts up $100 million for global carbon reduction competition,Tesla Inc boss and billionaire entrepreneur Elon Musk is offering a $100 million prize in a four-year global competition to find a way of reducing carbon dioxide from the Earth’s atmosphere.,92021.0,elon musk put million global carbon reduction competition tesla inc bos billionaire entrepreneur elon musk offering million prize four year global competition find way reducing carbon dioxide earth atmosphere.,Science and Tech
Arab spacecraft closes in on Mars on historic flight,"A spacecraft from the United Arab Emirates was set to swing into orbit around Mars in the Arab world’s first interplanetary mission Tuesday, the first of three robotic explorers arriving at the red planet over the next week and a half.",92021.0,arab spacecraft close mar historic flight spacecraft united arab emirate set swing orbit around mar arab world first interplanetary mission tuesday first three robotic explorer arriving red planet next week half.,Science and Tech
"Planetary trio: Mercury, Venus, Jupiter, Saturn up in the morning sky for February 2021","The decade's second planetary trio is here - this time with Mercury, Venus and Jupiter.",82021.0,planetary trio mercury venus jupiter saturn morning sky february decade second planetary trio time mercury venus jupiter.,Science and Tech
"Jeff Bezos, Amazon's founder, will step down as CEO","Jeff Bezos, who founded Amazon as an online bookstore and built it into a shopping and entertainment behemoth, will step down later this year as CEO, a role he's had for nearly 30 years, to become executive chairman, the company announced Tuesday.",32021.0,jeff bezos amazon founder step ceo jeff bezos founded amazon online bookstore built shopping entertainment behemoth step later year ceo role nearly year become executive chairman company announced tuesday.,Science and Tech
US billionaire buys SpaceX flight to orbit with 3 others,A US billionaire who made a fortune in tech and fighter jets is buying an entire SpaceX flight and plans to take three “everyday” people with him to circle the globe this year.,22021.0,u billionaire buy spacex flight orbit others u billionaire made fortune tech fighter jet buying entire spacex flight plan take three everyday people circle globe year.,Science and Tech
Musk's SpaceX violated its launch license in explosive Starship test: the Verge,"SpaceX’s first high-altitude test flight of its Starship rocket, which exploded last month while attempting to land after an otherwise successful test launch, violated the terms of its Federal Aviation Administration test license, the Verge reported on Friday, citing sources.",302021.0,musk spacex violated launch license explosive starship test verge spacex first high altitude test flight starship rocket exploded last month attempting land otherwise successful test launch violated term federal aviation administration test license verge reported friday citing sources.,Science and Tech
Twitch feature could be added by YouTube; company currently testing feature,"Twitch feature, which is an American video live streaming service run by Twitch Interactive, could be added by YouTube.",292021.0,twitch feature could added youtube company currently testing feature twitch feature american video live streaming service run twitch interactive could added youtube.,Science and Tech
WhatsApp Web and Desktop now require biometric authentication before device linking,WhatsApp is adding an extra layer of security for logging into WhatsApp Web and desktop app.,292021.0,whatsapp web desktop require biometric authentication device linking whatsapp adding extra layer security logging whatsapp web desktop app.,Science and Tech
Facebook Q4 results soar; Zuckerberg hits Apple over privacy,"Facebook capped a tumultuous 2020 with soaring earnings in the final quarter, but the company forecast challenges in 2021 that include a coming privacy update by Apple that could limit the social network's ad targeting capabilities.",282021.0,facebook q result soar zuckerberg hit apple privacy facebook capped tumultuous soaring earnings final quarter company forecast challenge include coming privacy update apple could limit social network ad targeting capabilities.,Science and Tech
Need a lift? SpaceX launches record spacecraft in cosmic rideshare program,"A veteran rocket from billionaire entrepreneur Elon Musk’s SpaceX aerospace company launched 143 spacecraft into space on Sunday, a new record for the most spaceships deployed on a single mission, according to the company.",272021.0,need lift spacex launch record spacecraft cosmic rideshare program veteran rocket billionaire entrepreneur elon musk spacex aerospace company launched spacecraft space sunday new record spaceship deployed single mission according company.,Science and Tech
Personal details of 2.28 million users of dating site MeetMindful compromised,"Privacy of as many as 2.28 million users of the online dating site MeetMindful has been compromised following publication of personal user data online on January 20, on Tuesday.",272021.0,personal detail . million user dating site meetmindful compromised privacy many . million user online dating site meetmindful compromised following publication personal user data online january tuesday.,Science and Tech
"Moderna says COVID-19 vaccine apparently effective against UK, South Africa variants",US-based pharmaceutical and biotechnology company Moderna said on Monday that its vaccine is apparently effective in neutralising the UK and South Africa variants of COVID-19.,272021.0,moderna say covid vaccine apparently effective uk south africa variant u based pharmaceutical biotechnology company moderna said monday vaccine apparently effective neutralising uk south africa variant covid .,Science and Tech
1st private space crew paying $55M each to fly to station,The first private space station crew was introduced Tuesday: Three men who are each paying $55 million to fly on a SpaceX rocket.,272021.0,st private space crew paying fly station first private space station crew introduced tuesday three men paying million fly spacex rocket.,Science and Tech
