headline,body,time_published,Text,category
Lady Gaga's dog-walker shot and pets stolen,"A gunman shot Lady Gaga's dog-walker and stole her pets in Los Angeles, at 9:40 pm on Wednesday, local time.",262021.0,lady gaga dog walker shot pet stolen gunman shot lady gaga dog walker stole pet los angeles pm wednesday local time.,Entertainment
'Mission: Impossible 7' will hit Paramount+ even sooner,"Paramount Pictures is joining other major Hollywood studios in slashing the traditional 90-day theatrical window. ViacomCBS on Wednesday announced that some of the studio’s films, including “Mission: Impossible 7” and “A Quiet Place Part II,” will go to its fledgling streaming service, Paramount+, after 45 days in theaters.",252021.0,mission impossible hit paramount even sooner paramount picture joining major hollywood studio slashing traditional day theatrical window. viacomcbs wednesday announced studio film including mission impossible quiet place part ii go fledgling streaming service paramount day theaters.,Entertainment
Yuwa Films announces auditions for South Indian film Arjun Reddy's Nepali remake,"Yuwa Films have announced the auditions for the lead and supporting roles for its official Nepali remake of the South Indian film, Arjun Reddy.",222021.0,yuwa film announces audition south indian film arjun reddy nepali remake yuwa film announced audition lead supporting role official nepali remake south indian film arjun reddy.,Entertainment
Internet gushes over 'Pawri Girl',A 19-yr-old Pakistani social media influencer is the latest online sensation and is winning the hearts of netizens.,202021.0,internet gush pawri girl yr old pakistani social medium influencer latest online sensation winning heart netizens.,Entertainment
Royal occasion: Oprah Winfrey to interview Meghan and Harry,"Prince Harry and Meghan Markle will be speaking with Oprah Winfrey, their first major television interview since quitting royal duties and buying a home last year in the U.S.",162021.0,royal occasion oprah winfrey interview meghan harry prince harry meghan markle speaking oprah winfrey first major television interview since quitting royal duty buying home last year u.s.,Entertainment
Timberlake apologizes to Britney Spears and Janet Jackson,"In a lengthy social media post, Justin Timberlake says that he wants to apologize to Britney Spears and Janet Jackson “because I care for and respect these women and I know I failed.”",132021.0,timberlake apologizes britney spear janet jackson lengthy social medium post justin timberlake say want apologize britney spear janet jackson care respect woman know failed.,Entertainment
Hall of Famer Jordan set for biggest leap yet into NASCAR,Michael Jordan may take his biggest leap yet -- and he’s trying to change the game again.,132021.0,hall famer jordan set biggest leap yet nascar michael jordan may take biggest leap yet trying change game again.,Entertainment
Oscars will be broadcast from multiple locations,"Hollywood’s Dolby Theatre has been the home of the Oscars since 2001 and the organizers say the upcoming show will keep that tradition, but they will enlist a supporting cast of venues.",112021.0,oscar broadcast multiple location hollywood dolby theatre home oscar since organizer say upcoming show keep tradition enlist supporting cast venues.,Entertainment
'Wizard of Oz' remake planned with 'Watchmen' director,"Are we off to see the wizard, the Wonderful Wizard of Oz — again?",102021.0,wizard oz remake planned watchman director see wizard wonderful wizard oz,Entertainment
Bollywood actor Rajiv Kapoor dies at 58,Bollywood actor Rajiv Kapoor passed away at the age of 58 on Tuesday.,92021.0,bollywood actor rajiv kapoor dy bollywood actor rajiv kapoor passed away age tuesday.,Entertainment
"Oscar winner, 'Sound of Music' star Christopher Plummer dies","Christopher Plummer, the dashing award-winning actor who played Captain von Trapp in the film “The Sound of Music” and at 82 became the oldest Academy Award acting winner in history, has died. He was 91.",62021.0,oscar winner sound music star christopher plummer dy christopher plummer dashing award winning actor played captain von trapp film sound music became oldest academy award acting winner history died. .,Entertainment
"With 'Mank' and 'The Crown,' Netflix dominates Globes noms","After a year where the pandemic nearly emptied movie theaters, Netflix dominated nominations to the 78th Golden Globe Awards on Wednesday, with David Fincher's “Mank"" leading film nominees with six nods and “The Crown” topping all television series.",42021.0,mank crown netflix dominates globe noms year pandemic nearly emptied movie theater netflix dominated nomination th golden globe award wednesday david fincher mank leading film nominee six nod crown topping television series.,Entertainment
Golden Globes nominations could belong to Netflix,"Whether anyone will attend the Golden Globes in person remains uncertain and improbable. But nominations to the 78th Globes will be announced Wednesday, nevertheless.",32021.0,golden globe nomination could belong netflix whether anyone attend golden globe person remains uncertain improbable. nomination th globe announced wednesday nevertheless.,Entertainment
'Saved by the Bell' star Dustin Diamond dies of cancer at 44,“Saved by the Bell” star Dustin Diamond died Monday after a three-week fight with cancer,22021.0,saved bell star dustin diamond dy cancer saved bell star dustin diamond died monday three week fight cancer,Entertainment
"'Virushka' share first picture of newborn daughter, reveal her name",Indian actor Anushka Sharma and Indian cricketer Virat Kohli took to twitter to share the first picture of his daughter and reveal her name.,12021.0,virushka share first picture newborn daughter reveal name indian actor anushka sharma indian cricketer virat kohli took twitter share first picture daughter reveal name.,Entertainment
Jennifer Aniston pays tribute to women in power including Nepal Prez Bidya Devi Bhandari,Jen Aniston celebrates powerful women including Prez Bhandari,302021.0,jennifer aniston pay tribute woman power including nepal prez bidya devi bhandari jen aniston celebrates powerful woman including prez bhandari,Entertainment
"Cicely Tyson, groundbreaking award-winning actor, dead at 96","Cicely Tyson, the pioneering Black actor who gained an Oscar nomination for her role as the sharecropper’s wife in “Sounder,” won a Tony Award in 2013 at age 88 and touched TV viewers’ hearts in “The Autobiography of Miss Jane Pittman,” died Thursday at age 96.",292021.0,cicely tyson groundbreaking award winning actor dead cicely tyson pioneering black actor gained oscar nomination role sharecropper wife sounder tony award age touched tv viewer heart autobiography miss jane pittman died thursday age .,Entertainment
"Kristen Stewart comes as Diana, Princess of Wales, in new movie Spencer","Kristen Stewart is Diana, Princess of Wales, in the new movie Spencer by Pablo Larrain.",282021.0,kristen stewart come diana princess wale new movie spencer kristen stewart diana princess wale new movie spencer pablo larrain.,Entertainment
"Oscar-winning, 'irreplaceable' Cloris Leachman dies at 94","LOS ANGELES (AP) - Cloris Leachman, an Oscar-winner for her portrayal of a lonely housewife in ""The Last Picture Show"" and a comedic delight as the fearsome Frau Blücher...",282021.0,oscar winning irreplaceable cloris leachman dy los angeles ap cloris leachman oscar winner portrayal lonely housewife last picture show comedic delight fearsome frau bl cher...,Entertainment
Nepali model Anjali Lama to feature in a Hollywood movie,Nepali transgender model Anjali Lama is all set to feature in Hollywood anthology Women's Stories.,272021.0,nepali model anjali lama feature hollywood movie nepali transgender model anjali lama set feature hollywood anthology woman stories.,Entertainment
Argento accuses xXx director Cohen of sexually abusing her,"Leading #MeToo figure Asia Argento made fresh accusations of sexual abuse on January 22, directed at The Fast and the Furious US director Rob Cohen.",272021.0,argento accuses xxx director cohen sexually abusing leading metoo figure asia argento made fresh accusation sexual abuse january directed fast furious u director rob cohen.,Entertainment
Branagh to play UK PM Johnson in COVID-19 TV drama,Kenneth Branagh is set to essay the role of Boris Johnson in a new TV drama charting UK prime minister’s handling of coronavirus pandemic.,272021.0,branagh play uk pm johnson covid tv drama kenneth branagh set essay role boris johnson new tv drama charting uk prime minister handling coronavirus pandemic.,Entertainment
Keira done with sex scenes for male gaze,"LOS ANGELES: Hollywood actress Keira Knightley said she is no longer interested in doing sex scenes just to appeal to men, calling her no-nudity decision partly a result of...",272021.0,keira done sex scene male gaze los angeles hollywood actress keira knightley said longer interested sex scene appeal men calling nudity decision partly result of...,Entertainment
Film school named after legendary Sidney Poitier,"In 1963, Sidney Poitier made a film in Arizona, Lilies of the Field. The performance led to a huge milestone: He became the first Black winner of a lead-acting Oscar.",272021.0,film school named legendary sidney poitier sidney poitier made film arizona lily field. performance led huge milestone became first black winner lead acting oscar.,Entertainment
Non-white films highlighted in AFI movies of the year list,"The American Film Institute (AFI) on January 25 announced its movies of the year, with five of the 10 honorees featuring predominantly non-white casts and stories.",272021.0,non white film highlighted afi movie year list american film institute afi january announced movie year five honoree featuring predominantly non white cast stories.,Entertainment
